book_id,author,title,text_path,graph_path,philosophy,society,religion,love,death,nature,war,identity
42671,"Austen, Jane",Pride and Prejudice,"D:\ThoughtMap\gutendex_books\Austen,_Jane\42671_Pride_and_Prejudice.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\42671_Pride_and_Prejudice_thoughtmap.png",0.164053,0.0,0.0,0.0,0.360776,0.46939,0.005781,0.0
31100,"Austen, Jane",The Complete Project Gutenberg Works of Jane Austen: A Linked Index of all PG Editions of Jane Austen,"D:\ThoughtMap\gutendex_books\Austen,_Jane\31100_The_Complete_Project_Gutenberg_Works_of_Jane_Austen__A_Linked_Index_of_all_PG_Editions_of_Jane_Auste.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\31100_The_Complete_Project_Gutenberg_Works_of_Jane_Austen__A_Linked_Index_of_all_PG_Editions_of_Jane_Auste_thoughtmap.png",0.10616,0.09091,0.065369,0.198488,0.136687,0.207617,0.082798,0.11197
21839,"Austen, Jane",Sense and Sensibility,"D:\ThoughtMap\gutendex_books\Austen,_Jane\21839_Sense_and_Sensibility.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\21839_Sense_and_Sensibility_thoughtmap.png",0.161281,0.0,0.0,0.10906,0.161042,0.37504,0.0,0.193577
161,"Austen, Jane",Sense and Sensibility,"D:\ThoughtMap\gutendex_books\Austen,_Jane\161_Sense_and_Sensibility.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\161_Sense_and_Sensibility_thoughtmap.png",0.126373,0.137595,0.038255,0.16803,0.123758,0.184733,0.084419,0.136837
1212,"Austen, Jane",Love and Freindship [sic],"D:\ThoughtMap\gutendex_books\Austen,_Jane\1212_Love_and_Freindship_[sic].txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\1212_Love_and_Freindship_[sic]_thoughtmap.png",0.0933,0.093257,0.104632,0.266888,0.112861,0.117029,0.06499,0.147042
121,"Austen, Jane",Northanger Abbey,"D:\ThoughtMap\gutendex_books\Austen,_Jane\121_Northanger_Abbey.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\121_Northanger_Abbey_thoughtmap.png",0.076575,0.11679,0.057214,0.16855,0.132006,0.254178,0.094579,0.100108
158,"Austen, Jane",Emma,"D:\ThoughtMap\gutendex_books\Austen,_Jane\158_Emma.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\158_Emma_thoughtmap.png",0.028707,0.125331,0.020184,0.138203,0.160202,0.286719,0.17598,0.064674
19839,"Austen, Jane",Emma,"D:\ThoughtMap\gutendex_books\Austen,_Jane\19839_Emma.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\19839_Emma_thoughtmap.png",0.126308,0.058082,0.0,0.162859,0.163296,0.322008,0.092111,0.075336
26301,"Austen, Jane",Pride and Prejudice,"D:\ThoughtMap\gutendex_books\Austen,_Jane\26301_Pride_and_Prejudice.txt","D:\ThoughtMap\gutendex_books\Austen,_Jane\graphs\26301_Pride_and_Prejudice_thoughtmap.png",0.167841,0.122946,0.035611,0.191361,0.126793,0.165471,0.058201,0.131776
1260,"Brontë, Charlotte",Jane Eyre: An Autobiography,"D:\ThoughtMap\gutendex_books\Brontë,_Charlotte\1260_Jane_Eyre__An_Autobiography.txt","D:\ThoughtMap\gutendex_books\Brontë,_Charlotte\graphs\1260_Jane_Eyre__An_Autobiography_thoughtmap.png",0.10278,0.098924,0.012028,0.156961,0.116197,0.260142,0.080937,0.172031
21181,"Brontë, Charlotte",Villette,"D:\ThoughtMap\gutendex_books\Brontë,_Charlotte\21181_Villette.txt","D:\ThoughtMap\gutendex_books\Brontë,_Charlotte\graphs\21181_Villette_thoughtmap.png",0.134661,0.022172,0.0,0.119527,0.152783,0.409088,0.002161,0.159608
