doc_id,title,author,source,philosophy,psychology,science,economics,karma,emotion,morality,ideal,individual,community
doc_000068,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",Vatsyayana,gutendex,0.1536034,0.11104333,0.052554797,0.0,0.1296691,0.13920581,0.109934635,0.12841034,0.09600516,0.07957334
doc_000069,"The Anabasis of Alexander : $b or, The history of the wars and conquests of Alexander the Great",Arrian,gutendex,0.0918468,0.08128337,0.10084224,0.05014687,0.10587259,0.117561884,0.12948392,0.11865209,0.11260564,0.09170464
doc_000070,Sense and Sensibility,"Austen, Jane",gutendex,0.12734072,0.12615971,0.081751905,0.060416516,0.038858663,0.12860994,0.09548738,0.09993206,0.1448587,0.096584424
doc_000071,The Lady of the Lake,"Scott, Walter",gutendex,0.12828767,0.12155369,0.07112872,0.0,0.07212911,0.14020868,0.0894905,0.1166776,0.1636487,0.09687528
doc_000072,The Sex Life of the Gods,"Knerr, M. E. (Michael E.)",gutendex,0.15746288,0.0985761,0.11475591,0.0,0.07331657,0.09294149,0.116286986,0.10629878,0.17500217,0.06535907
doc_000073,That Girl Montana,"Ryan, Marah Ellis",gutendex,0.17848766,0.06971785,0.08191918,0.0,0.14618677,0.08625641,0.08858447,0.09727178,0.16137762,0.09019822
doc_000074,Color Images from Mars Rovers: Spirit and Opportunity,"Webster, Bob",gutendex,0.08270757,0.12707381,0.10271876,0.0,0.006850072,0.1296829,0.037767775,0.26692948,0.13358474,0.11268484
doc_000075,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",gutendex,0.11466935,0.120098785,0.06875377,0.038611703,0.06036711,0.14111556,0.12862384,0.10313369,0.13432187,0.0903043
doc_000076,The Hound of the Baskervilles,"Doyle, Arthur Conan",gutendex,0.11733907,0.09288928,0.112238534,0.017113421,0.09663708,0.13412338,0.11903328,0.10513913,0.13247217,0.07301471
doc_000077,Robert Orange: Being a Continuation of the History of Robert Orange,"Hobbes, John Oliver",gutendex,0.17381686,0.038297802,0.12665132,0.0,0.11991374,0.0700076,0.14176472,0.10980287,0.1198576,0.09988751
doc_000078,The Man Who Was Thursday: A Nightmare,"Chesterton, G. K. (Gilbert Keith)",gutendex,0.1503432,0.12391808,0.040945683,0.0,0.07778391,0.13649516,0.1181127,0.1315251,0.12126104,0.09961499
doc_000079,That Which Hath Wings: A Novel of the Day,"Dehan, Richard",gutendex,0.12663496,0.097143814,0.09539252,0.02075717,0.12340903,0.10205845,0.113985166,0.1414937,0.116708994,0.06241612
doc_000080,Autobiography of Benjamin Franklin,"Franklin, Benjamin",gutendex,0.1511769,0.08180003,0.09634747,0.014326334,0.07559859,0.09657121,0.07397773,0.10148126,0.19600022,0.11272028
doc_000081,A farewell to arms,"Hemingway, Ernest",gutendex,0.10167185,0.091600515,0.08280185,0.039352395,0.07458906,0.15335532,0.10346759,0.11100826,0.1345017,0.10765147
doc_000082,The Prince,"Machiavelli, Niccolò",gutendex,0.12634006,0.07408213,0.113741875,0.048598748,0.09863957,0.10019772,0.12295484,0.09103495,0.1573949,0.06701514
doc_000083,"The best short stories of 1920, and the yearbook of the American short story",,gutendex,0.073963046,0.12871453,0.07861488,0.0,0.09111649,0.1543436,0.087696664,0.103919774,0.12848997,0.15314104
doc_000084,The Yeoman Adventurer,"Gough, George W.",gutendex,0.1285189,0.07970219,0.10931905,0.039528683,0.12307174,0.12035118,0.089847825,0.107410364,0.12667456,0.075575456
doc_000085,War and Peace,"Tolstoy, Leo, graf",gutendex,0.09554158,0.06672489,0.101675235,0.03523287,0.10176672,0.11177287,0.1199509,0.1102206,0.13519837,0.12191598
doc_000086,The Works of Mr. George Gillespie (Vol. 1 of 2),"Gillespie, George",gutendex,0.11013148,0.03168459,0.19864497,0.011340996,0.104715616,0.07396267,0.07826121,0.09023029,0.1507442,0.15028398
doc_000087,Concrete Construction: Methods and Costs,"Gillette, Halbert Powers; Hill, Charles Shattuck",gutendex,0.14877042,0.027717002,0.2075951,0.10606439,0.19238009,0.0,0.023452444,0.17143138,0.104860105,0.017729027
doc_000088,Great Expectations,"Dickens, Charles",gutendex,0.081649184,0.12218914,0.039346635,0.06595968,0.10100825,0.14322494,0.10705817,0.1301487,0.1425827,0.06683263
doc_000089,Only a girl's love,"Garvice, Charles",gutendex,0.16755219,0.09128891,0.13138983,0.0,0.05402607,0.19771145,0.08435926,0.106572695,0.13844936,0.028650265
doc_000090,A Honeymoon in Space,"Griffith, George Chetwynd",gutendex,0.19272047,0.0358486,0.2779642,0.0,0.19279055,0.061361447,0.0030386797,0.15220289,0.028648715,0.055424437
doc_000091,Beowulf: An Anglo-Saxon Epic Poem,,gutendex,0.14119977,0.07034423,0.09604957,0.007343669,0.06874771,0.12650721,0.13101037,0.13992445,0.13119045,0.08768249
doc_000092,Cameron of Lochiel,"Aubert de Gaspé, Philippe",gutendex,0.071849406,0.0010176904,0.08136378,0.0,0.13000561,0.23186433,0.13288666,0.12511727,0.119031996,0.10686321
doc_000093,One of the Six Hundred: A Novel,"Grant, James",gutendex,0.09233398,0.07188094,0.07912806,0.03517602,0.09388996,0.16134307,0.10088529,0.09719938,0.14140925,0.12675405
doc_000094,Linnet: A Romance,"Allen, Grant",gutendex,0.12047778,0.12683919,0.06437756,0.050326042,0.07404285,0.15951286,0.06587334,0.124955356,0.12789395,0.08570105
doc_000095,"The Junior Classics, Volume 1: Fairy and wonder tales","Neilson, William Allan",gutendex,0.20101462,0.02802502,0.2742827,0.0,0.053081118,0.09583466,0.042688783,0.10607135,0.02518507,0.1738168
doc_000096,Forest Days: A Romance of Old Times,"James, G. P. R. (George Payne Rainsford)",gutendex,0.13098513,0.06413945,0.13263604,0.0,0.109891206,0.16788198,0.04577112,0.106011465,0.119115934,0.12356771
doc_000097,A Pickle for the Knowing Ones,"Dexter, Timothy",gutendex,0.1234021,0.10468219,0.13385808,0.030329786,0.08704108,0.101889804,0.09922382,0.0853993,0.14559498,0.08857883
doc_000098,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",gutendex,0.15001543,0.027430631,0.107524954,0.023384567,0.1381938,0.10385418,0.14070679,0.086917505,0.09677582,0.1251963
doc_000099,Rizal's own story of his life,"Rizal, José",gutendex,0.11015272,0.103505425,0.07815201,0.0068638115,0.11087073,0.12147595,0.078664996,0.10147734,0.18433437,0.10450263
doc_000100,The Waterloo Roll Call: With Biographical Notes and Anecdotes,"Dalton, Charles",gutendex,0.06961195,0.071541876,0.13177611,0.060156047,0.1760234,0.11630103,0.054735694,0.084863566,0.118035555,0.11695481
